feature_id,name,feature_class,feature_type,has_water_measurement,observed_at,observed_date,longitude,latitude,wkt,address,municipality,in_yokoze_town,access_status,elevation_field_m,water_temp_field_c,conductivity_field_ms_m,ph_field,rph_field,ph_difference,remarks,cfg_matched,cfg_match_method,cfg_match_distance_m,cfg_observed_at,cfg_latitude,cfg_longitude,cfg_elevation_m,elevation_difference_m,nitrate_mg_l,nitrate_mv,water_temp_cfg_c,conductivity_cfg_ms_m,ph_cfg,ph_cfg_retest,orp_mv,weather,previous_weather,cfg_field_id,cfg_event_id,cfg_device_id,cfg_location_label,cfg_note,qc_flags,source_fieldwork_row,source_cfg_row,source_files
YKW-20260921-001,雨水採水・測定,water_quality_sample,rainwater,True,2026-09-21T14:02:13,2026-09-21T00:00:00,139.102461,35.986541,POINT (139.102461 35.986541),埼玉県横瀬町横瀬1926,横瀬町,True,unknown,225.72,22.3,1.193,6.3,6.3,0,Area898周辺に降り注いだ雨水,False,,,,,,,,,,,,,,,,,,,,,,duplicate_coordinates_distinct_samples,2,,2026.09.21-22_荒川流域圏構想フィールドワーク.xlsx
YKW-20260921-002,知知夫瀧坂水神社 御神水測定,water_quality_sample,spring_water,True,2026-09-21T14:02:13,2026-09-21T00:00:00,139.102461,35.986541,POINT (139.102461 35.986541),埼玉県横瀬町横瀬1926,横瀬町,True,unknown,225.72,16,19.7,6.7,7.1,0.4,鈴賀さん採水の水,False,,,,,,,,,,,,,,,,,,,,,,duplicate_coordinates_distinct_samples,3,,2026.09.21-22_荒川流域圏構想フィールドワーク.xlsx
YKW-20260921-003,礫岩露頭,other_observation,geology,False,2026-09-21T14:49:35,2026-09-21T00:00:00,139.105341,35.988683,POINT (139.105341 35.988683),埼玉県横瀬町横瀬1902-8,横瀬町,True,unknown,230.65,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,no_water_measurement,4,,2026.09.21-22_荒川流域圏構想フィールドワーク.xlsx
YKW-20260921-004,森側 モミの木,other_observation,vegetation,False,2026-09-21T14:53:55,2026-09-21T00:00:00,139.105161,35.988763,POINT (139.105161 35.988763),埼玉県横瀬町横瀬1902-8,横瀬町,True,unknown,223.25,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,no_water_measurement,5,,2026.09.21-22_荒川流域圏構想フィールドワーク.xlsx
YKW-20260921-005,森側 斜面端部の湧水,water_quality_sample,spring_water,True,2026-09-21T15:13:18,2026-09-21T00:00:00,139.105233,35.988827,POINT (139.105233 35.988827),埼玉県横瀬町横瀬1865-6,横瀬町,True,unknown,223.03,19.4,21.8,6.9,7.2,0.3,サーモグラフィーカメラで見つけた水たまり,False,,,,,,,,,,,,,,,,,,,,,,,6,,2026.09.21-22_荒川流域圏構想フィールドワーク.xlsx
YKW-20260922-006,道の駅 ちちぶの水,water_quality_sample,tap_water,True,2026-09-22T10:05:29,2026-09-22T00:00:00,139.089245,35.997766,POINT (139.089245 35.997766),埼玉県秩父市大宮4625,秩父市,False,unknown,230.09,18.2,12.02,7.3,7.4,0.1,橋立浄水場から引いた水道水,True,name_time_spatial_reviewed,63.8,2026-09-22T10:04:26,35.997339,139.088772,274.4,44.3,4.762,103,24,12.9,7.77,,258,晴れ,雨,Yokoze,20260922,115,ちちぶの水,,outside_yokoze_town; cfg_match_distance_gt_50m; elevation_difference_gt_20m,7,2,2026.09.21-22_荒川流域圏構想フィールドワーク.xlsx; Code for Ground データソン.xlsx
YKW-20260922-007,秩父神社 乾の井戸,water_quality_sample,well,True,2026-09-22T10:32:01,2026-09-22T00:00:00,139.083875,35.997807,POINT (139.083875 35.997807),埼玉県秩父市番場町1-23,秩父市,False,unknown,226.59,22.3,17.48,6.2,7.2,1,境内裏手の柞（ははそのもり）の森にある、決して枯れないとされる浅井戸。手押しポンプ稼働時間が少ないため、水温は参考値。,True,name_time_spatial_reviewed,90.9,2026-09-22T10:31:47,35.998611,139.084059,268.5,41.9,4.85,103,25.3,18.9,7.11,,270,晴れ,雨,Yokoze,20260922,115,秩父神社 乾の井戸,,outside_yokoze_town; cfg_match_distance_gt_50m; elevation_difference_gt_20m,8,3,2026.09.21-22_荒川流域圏構想フィールドワーク.xlsx; Code for Ground データソン.xlsx
YKW-20260922-008,妙見七つ井戸 七の井戸（今重の井戸）,water_quality_sample,well,True,2026-09-22T10:48:14,2026-09-22T00:00:00,139.088746,36.001536,POINT (139.088746 36.001536),埼玉県秩父市上宮地町17-23,秩父市,False,unknown,223.23,20.6,29.4,6.9,7.3,0.4,"妙見菩薩が秩父神社に合祀された際、宮地の妙見宮から秩父神社まで渡っていったとされる七つ井戸（北斗七星になぞらえた）。
かつては豊富な湧水があり主に「染め糸のすすぎ」などの作業に使われていた。",True,name_time_spatial,44.7,2026-09-22T10:56:01,36.001928,139.088857,268.2,45,29.778,79,26.4,31.3,7.2,,283,晴れ,雨,Yokoze,20260922,115,妙見七の井戸,,outside_yokoze_town; elevation_difference_gt_20m,9,4,2026.09.21-22_荒川流域圏構想フィールドワーク.xlsx; Code for Ground データソン.xlsx
YKW-20260922-009,妙見七つ井戸 六の井戸（みざわの井戸）,water_feature,spring_pond,False,2026-09-22T11:02:50,2026-09-22T00:00:00,139.088855,36.003302,POINT (139.088855 36.003302),埼玉県秩父市上宮地町15-10,秩父市,False,private,222.17,,,,,,個人宅（農家）の敷地内（私有地）にあり、クレソンが自生する湧水池。水量は豊富でトンボの産卵場になっている。,False,,,,,,,,,,,,,,,,,,,,,,outside_yokoze_town; no_water_measurement,10,,2026.09.21-22_荒川流域圏構想フィールドワーク.xlsx
YKW-20260922-010,湧水池,water_feature,spring_pond,False,2026-09-22T11:09:55,2026-09-22T00:00:00,139.089435,36.004209,POINT (139.089435 36.004209),埼玉県秩父市中宮地町3,秩父市,False,no_entry,221.79,,,,,,段丘の低崖付近にあり、住宅地の一角にある祠が祀られた湧水池。フェンスで囲まれており立入りできない。,False,,,,,,,,,,,,,,,,,,,,,,outside_yokoze_town; no_water_measurement,11,,2026.09.21-22_荒川流域圏構想フィールドワーク.xlsx
